truth_label;confidence;ulasan
positive;9,95E+15;bagus membantu banget menjalankan tugas
positive;9,87E+14;mantap update pembaruan
negative;9,39E+14;riwet tahapan nya
positive;9,97E+15;respon cepat petugas dilapangan ramah ribet pungli maju surabaya ku sukses sehat dinas terkait sukses sehat cak eri
negative;8,68E+14;piye to mind wes kadong download bareng arep nyimpen erortolong mind sistemnya tingkatkan warga surabayamatur nuwun
positive;9,99E+15;
negative;5,19E+15;aplikasi launching daftar login error ambil nomor antrean puskesmas aplikasi ehealth cepat ringan sak karepmu sak senengseneng mu
positive;9,99E+15;
positive;9,79E+15;apik
positive;8,60E+15;aplikasi bagusnamun login gagalapa penyebabnya
positive;9,99E+15;surabaya maju kota ku bahagia warganya nya
positive;9,94E+14;membantu warga surabaya matur nuwon pkwali beserta jajarannya
positive;9,99E+13;al mantabek
positive;9,99E+15;mantab
positive;9,48E+15;aplikasi respon keluhan warga surabayajadi instansi terkait membantu pelayanan terbaik warga surabayakarena dipimpin risma cepat merespon keluhan warganyajadi harap kedepannya melayani keluhan masyarakatbukan balas chating aja tindakankalau dikasih link petugas terkait meresponterimakasih
positive;9,97E+15;lumayan membantu
positive;9,99E+15;aplikasi inovatif
positive;9,80E+15;dng cepat pemkot sby membantu kesulitan warga
positive;9,99E+14;membantu warga surabaya
positive;9,98E+15;innovative
positive;9,98E+15;bagus pembenahan maju surabayaku
negative;6,60E+15;cak eri iki yak opo pengaduanku saranku appwargaku suroboyo kq gak onok tanggapanopo balasaneblass kulo niki warga asli suroboyoloo tolongdi bantunggii cak erisuwun
positive;9,98E+15;niat pemerintah daerah membangun interaksi masyarakat menjalankan roda pemerintahan didukung penuh semoga kedepan pelayanan kelurahan dinas maju rumah kota surabaya leader pelayanan masyarakat masyarakat fokus beribadah berkesenian menikmati kota surabaya diribetkan urusan pemerintah bravo pemkot surabaya
positive;9,98E+15;recomended
positive;9,99E+15;aplikasi yg mantab bermanfaat warga surabaya
positive;9,06E+15;semoga membantu amien
positive;9,98E+15;terima kasihaplikasi membantu
positive;9,98E+15;bagus masyarakat
positive;9,94E+15;terima kasih mempermudah interaksi warga pemerintahan
positive;7,36E+15;semoga berjalan sesuai dg yg dikehendaki
positive;9,99E+14;bagus banget
positive;9,48E+15;praktis gpl
positive;9,99E+15;mantap
positive;9,91E+15;sip bagus
positive;9,99E+15;membantu warga kota surabaya mantap
positive;9,65E+15;mantap surabaya salam walikota josuntuk evaluasi tindak pemimpin terkaityg serius menanggapi permasalahan lapangan
positive;9,99E+15;mantap respon cepat
positive;9,73E+15;kasih bintang aplikasi saran kritik keluhan warga surabaya fast respon bintangnya ditambah
positive;9,96E+15;respon cepat
positive;6,78E+15;topppppp
positive;9,98E+15;
positive;9,98E+15;bagus
positive;9,96E+15;membantu
positive;9,88E+15;bagus n membantu
positive;9,36E+14;oke
positive;9,99E+15;cocok warga surabaya
positive;9,97E+15;puas thx rekan jempol
positive;9,98E+15;aplikasi plus respon cepat pemerintah surabaya
positive;9,97E+15;menarik solusinya kreatif pelayanan warga masyarakat surabaya jatim dinamis
positive;9,97E+15;integrasi ehealt mohon dibuatkan formnya aplikasi aplikasi wargaku bagus semoga membantu warga kota surabaya
positive;9,98E+15;terima kasih pemkot surabaya berbenah semangat bangga warga surabaya
positive;9,97E+15;sya komplain pdam daerah sya mati smpe hri stlaah sy komplain aplikasi warga ku lsng teratasi smpe air pdam daerah sya lancar jaya terimakasih pemkot pdam kinerjanya oke
positive;9,94E+15;tambahi aduan pungutan liar rtrwaparat marak oknum rtrwaparat gt kasih bintang semangat membangun surabaya aman nyaman
positive;9,99E+15;respon cepat bangga warga surabaya kota elit maju insyaallah sejahtera aamiin
positive;7,23E+15;oke
positive;9,95E+15;inovatif aspiratifresponsif
positive;9,99E+15;bagus warga surabaya
positive;9,92E+15;terimakasih berkat aplikasi warga surabaya terbantu banget kemarin debat oknum kelurahan terkait surat download mengadukan alhamdulillah terselesaikan cepat terimakasih
positive;9,97E+15;aplikasi wargaku membantu warga surabaya sistem keluhan kampung teratasi respon cepat ucapkan terima kasih membantu terselesaikannya keluhan kampung maju sukses pemkot surabaya
positive;6,12E+15;bermanfaat warga surabaya utk mengeluh saran
positive;9,97E+15;bagus semoga benarbenar bermanfaat warga surabaya semangat membangun surabaya matur sembah nuwun
positive;9,98E+15;bagus
positive;9,06E+15;membantu warga saran kritikan keluhan saran apk tsb bukti photo yg diupload max photo rincithanks
positive;9,98E+15;membantu
positive;9,99E+15;mantap
positive;9,98E+15;bagus
positive;9,98E+15;bagus apk membantu sayang instansi yg gak tercantum diskominfo bravo wali eri cahyadi semoga surabaya berkembang pesat kotanya
positive;9,95E+15;membantu butuhkan
positive;9,97E+15;membantu
positive;9,93E+15;bagus applikasi mempercepat proses komunikasi birokrasi
positive;9,96E+15;lumayan cepat respon dr opd
positive;9,97E+15;semogah bermanfaat berkah amanah
positive;9,99E+15;aplikasinya bagus mudah diakses warga surabaya
positive;9,97E+15;membantu dlm keluhan
positive;9,67E+15;saran pelapor rahasiakan indetitasnya instansi dinas terkait admin pemkot yg pengalaman kemarin laporan tindaklanjuti tlp dinas terkait app dibutuhkan diperbaikisemangat pemkot semangat cak eri
positive;9,98E+15;bagus
positive;7,03E+15;semoga aplikasi jembatan komunikasi bpk walikota warganya
positive;9,98E+15;alhamdulillah kepemimpinan eri cahyadi utk kepentingan warga surabaya semoga beliau amanah dgn warga surabaya sukses
positive;9,98E+15;semoga berkah
positive;9,99E+15;membantu dlm penyelesaian mslh warga cepat tanggapi langsung sukses bpk walikota eri
positive;9,98E+15;apliaksi yg respon cepat bagus
positive;9,98E+15;solutif inovatif salut perkembangan pelayanan warga kota surabaya memudahkan warganya
positive;9,03E+15;bagus bermanfaattetapi sayang sekalisaya lupa password telpon kontak center gk terangkat terusmohon solusikrn membutuhkan aplikasi lagithnks kotaku surabaya
positive;9,99E+15;mantul mantap
positive;9,97E+15;mantap cepat permasalahan dikota surabaya
positive;9,98E+15;aplikasi unek saran tersalurkan perbaikan fasum sby penangananya cepat semoga surabaya josss ilove srby
positive;9,92E+15;semoga bs jd aplikasi yg bermanfaat bg warga surabaya
positive;9,98E+15;
positive;9,95E+15;mantab tenan
positive;9,99E+15;mantap
positive;9,97E+15;senang
positive;9,98E+15;bagus kemajuan kota surabaya
positive;9,96E+15;luarbiasa bagus
positive;5,18E+15;tolong ku erji semoga pengaduan amanah ku erji salam rudi kuswantoro
positive;9,98E+15;warga masyarakat membantu pemerintah samasama update kendala kemajuan kota surabaya program hebat walikota erji semoga konsisten trimakasih eriarmuji
positive;9,49E+15;smoga kedepannya surabaya smart city bsa menanggapi keluhan masyarakat cepat
positive;9,10E+15;semoga aplikasi merubah
positive;9,97E+15;aplikasi yg bagus utk menghubungkan pemkot surabaya dgn warga
positive;9,97E+15;aplikasi bagus bermanfaat warga surabaya ancene cak erji pancen top sehat nggeh cak warga kota surabaya
positive;9,91E+15;percayakarena nggak ceritanya eri menelantarkan warganyasukses
positive;9,99E+15;sukses erik enak ya kesulitan
positive;9,97E+15;smoga aplikasi bermanfaat warga surabaya salut eri yg sllu memperhatikan warga surabaya
positive;9,17E+15;nyoba aduan masyarakat overall setuju aplikasi
positive;9,75E+15;bintang telu dhisik yo min ndelok perkembangane lek apik yambahi bintange
positive;6,33E+15;membatu melaporkan keluhan warga
positive;9,93E+15;aplikasi yg bermanfaat warga surabaya
positive;9,99E+15;belanja aman mudah antrian
positive;9,99E+15;mantap aplikasi mempermudah berbelanja
positive;9,97E+15;mantap
positive;9,83E+15;pemkot sby bagus kemudahan utk membeli produk umkm semoga aplikasi bermanfaat pembeli yg malas kluar sperti
positive;9,98E+15;belanja kebutuhan seharihari mudah
positive;9,95E+15;bermanfaat
positive;9,99E+15;bagus mudah surabaya hebat
positive;9,93E+15;bagus semoga berkembang pilihan metode pembayaran pengiriman
positive;9,99E+15;aplikasinya bagus produknya umkm pilihannya jdi tau klo produknya umkm beli
positive;9,92E+15;bangga warga surabaya semoga berkembang bersaing kompetitor
positive;9,97E+15;aplikasinya membantu umkm semoga ekonomi surabaya meningkat
positive;9,99E+15;membantu umkm surabaya
positive;9,96E+15;bagus mempermudah membeli barang umkm surabaya
positive;9,99E+15;aplikasinya bagus membantu umkm menjual produknya
positive;9,98E+15;alhamdulillah aplikasi peken pemerintah kota surabaya kebutuhan pangan terarah terima kasih pemkot
positive;9,97E+14;fitur nya dipahami
positive;9,96E+15;membantu
positive;9,75E+15;sempet bangga ad aplikasi ny d sby trnyta lemot skli penggunaanx utk login aj ampun dech
positive;9,89E+14;gampang belanja
positive;8,55E+15;jooosssemakin update linknya
positive;9,99E+15;memudahkan penjualan umkm surabaya mantab
positive;9,98E+15;aplikasi inovasi mendukung peningkatan perekonomian surabaya memudahkan pembeli menemukan produk umkm tokel kebutuhan pribadi dgn harga yg terjangkau maju terusss surabaya mengembangkan inovasi terbaru yg membawa dampak positiff masyarakat
positive;9,97E+14;mudah berbelanja ribet terimakasih peken
positive;7,72E+15;maju kedepan
positive;9,98E+15;aplikasi cepat membantu
positive;9,99E+15;aplikasi terbaik sedunia
positive;9,97E+15;mantapppppp
positive;9,98E+15;membantu pertumbuhan ekonomi umkm surabaya mantap
positive;9,96E+15;sy bangga epeken iniguna memulihkan ekonomi warga kota surabaya
positive;9,99E+15;kemudahan belanja market place user friendly keluaran pemkot surabaya wani reekkk semoga kedepannya berkemban ojo lali rekkbelonjo nng peken suroboyo yo rekkk
positive;8,14E+15;bagus semoga fitur pengiriman ekspedisi bayar alfa indomaret bank jatim
positive;9,97E+15;inovasi bagus pemerintah kota surabaya meningkatkan ekonomi rakyat umkm semoga aplikasi peken berkembang arah saran integrasikan jasa pengiriman fleksibel variatif bertransaksi tambahkan promopromo menarik gratis ongkir potongan harga cashback poin mantap pemkot surabaya
positive;9,99E+15;membantu umkm
positive;9,98E+15;mantaab memudahkan belanjaaa tokel
positive;9,30E+15;aplikasi membantu pembelanjaan produk umkm mudah
positive;9,99E+15;efisien
positive;9,99E+15;aplikasi peken surabaya bagus barang murah murah
positive;9,97E+15;inovasi pemkot surabaya membantu penjual
positive;9,98E+15;peken kota sby membantu terima kasih
positive;9,64E+15;aplikasi mudah no ribet qris langsung masuk rekening prosesnya cepat
positive;9,94E+15;aplikasi epeken joss
positive;9,99E+15;aplikasin peken surabaya mantap membantu meningkatkan penjualan online
positive;9,99E+15;aplikasi peken emang mantap
positive;9,96E+15;berterima kasih aplikasi peken dimana membantu tokel meningkatkan pendapatan semoga aplikasi peken berkembang membantu umkm surabaya bertumbuh
positive;9,99E+15;membantu umkm lokal
positive;9,98E+15;jualan untungnya drpd ecommerce insyaallah laku alhamdulillah
positive;9,46E+15;epeken bs memajukan umkm sby klo ditambah pengiriman instans
positive;9,98E+15;peken mantab
positive;9,99E+15;aplikasi peken mantap
positive;9,81E+15;mohon ditingkatkan dikembangkan aplikasi inikarena umkm maju ditingkatkan dng dukungan aplikasi pemerintahumkm produk negeri maju
positive;9,97E+15;terimakasih aplikasi epeken aplikasi mempermudah umkm mengembangkan usahanyasukses slalu peken surabaya
positive;9,98E+14;membantu perekonomian toko kelontong mantabbb semoga berkah aminn
positive;9,99E+15;peken surabaya mantap
positive;5,42E+15;belanja aman rumah antiribet tanpaantri
positive;5,77E+15;aplikasi yg berjualan mantap
positive;9,99E+15;aplikasi peken mantab
positive;9,96E+15;membantu
positive;9,96E+15;aplikasi yg mengerti kebutuhan warga surabaya raya
positive;9,94E+15;semoga membantu umkm surabaya maju berkembang
positive;9,95E+15;terimakasih pemkot pengalaman berjualan ecommerce lokal surabaya semoga inovatif melayani warga terbaik warga kota surabaya
positive;9,98E+15;peken membantu mempermudah berbelanja
positive;9,99E+15;alhamdulillah membantu menjual produk umkm mantap
positive;9,78E+15;aplikasi e mudah
positive;9,96E+15;aplikasinya membatu umkm semoga ekonomi surabaya meningkat
positive;9,96E+15;mantap apps mobilenya mudah
positive;9,89E+15;inovativ banget apk meningkatakan penjualan pelaku ukm
positive;9,98E+15;alhamdulillah jualan produk aplikasi disediakan pemkot surabaya alhamdulillah pemasukan lancar terima kasih pemkot
positive;9,98E+15;membantu
positive;9,99E+14;fitur nya memudahkan
positive;9,99E+15;alhamdulillah semoga berkah amiin
positive;9,94E+15;mantab memudahkan penjualan umkm surabaya
positive;9,99E+15;alhamdulillah
positive;9,70E+15;membantu meningkatkan penjualan alhamdulillah terimakasih jajaran pemkot surabaya mohon dimaintenance webnya yg pesan e peken masuk pesanannyaminta tolong diupdate terimakasih
positive;9,98E+15;bangga jd warga surabaya salah satunya yg kebanggaan ku surabaya aplikasi epeken yg membantu pelaku usaha toko kelontong umkm yg d surabaya utk meningkatkan kesejahteraan masyarakat surabaya
positive;9,98E+15;aplikasi membantu masyarakat surabaya mengembangkan usahanya
positive;9,99E+15;dongkrak perkapita umkm mantap
positive;9,97E+15;aplikasi yg bagus umkm toko kelontong semoga ditingkatkan mendukung perekonomian surabaya
positive;9,99E+15;ekonomi kerakyatan
positive;7,73E+15;sippp
positive;9,92E+15;mantaaap bermanfaat sarana penjualan umkm tokel warga surabaya
positive;8,40E+15;bergabung bln februari sdh bikin akun verifikasi berhasil login pake aplikasi berharap melayani rekan pns dgn amanah mmbantu pelaku usaha spt terimakasih
positive;9,99E+14;bagus
positive;9,99E+15;aplikasi yg mantap membantu pekerjaan
positive;8,65E+15;niatnya pemberdayaan ekonomi warga tp nggak login fatal wkwkwk
positive;9,97E+15;mantap
positive;9,96E+15;membantu
positive;6,76E+15;warga surabaya bangga aplikasi mohon dipermudah loginnya aplikasi
positive;7,24E+15;aplikasi rintisan pemkot memudahkan penjual toko kelontong umkm surabaya memasarkan produknya bertransaksi semoga kedepan
positive;9,93E+15;mohon dibenahi diupgrade mendukung ecommerce milik kota surabaya
positive;9,99E+15;semangat
positive;9,99E+15;mantap
positive;9,99E+15;mantab
positive;9,99E+15;mantap membantu
positive;9,99E+15;nyaman
positive;7,23E+15;oke
positive;9,95E+15;kerja bagus tingkatkan bagus canggih
positive;9,84E+15;mudah dipahami
positive;9,99E+14;memudahkan terintegrasi
positive;9,96E+15;membantu
positive;9,99E+15;aplikasi benarbenar membantu meningkatkan produktivitas seharihari antarmukanya intuitif mudah fiturnya lengkap mengapresiasi respons pengembang cepat memperbarui aplikasi menangani bug performa stabil desain modern aplikasi layak bintang direkomendasikan mencari solusi praktis efisien terima kasih aplikasi
positive;9,93E+14;mantaaaffff
positive;9,98E+15;bagus
positive;9,98E+15;
positive;9,98E+15;bagus
positive;9,99E+15;aplikasi bagus
positive;9,99E+15;membantu pegawai top markotop
positive;9,98E+15;bagus
positive;9,98E+15;bagus
positive;9,99E+15;oke mantap
positive;9,91E+15;sesuai prosedur latian sabar yg nikmat
positive;9,99E+15;mantap
positive;7,23E+15;oke
positive;8,08E+14;pembaruan
positive;9,98E+15;puas
positive;7,58E+15;sinyal kadang error absen bagus kantorku
positive;9,98E+15;membantu karyawan
positive;9,79E+15;apik
positive;9,98E+15;bagus
positive;9,97E+15;josss
positive;9,90E+15;mambantu
positive;9,97E+15;smoga lancar
positive;9,99E+15;mantab
positive;9,99E+15;mantap
positive;9,98E+15;memudahkan absensi
positive;9,98E+15;aplikasi yg membantu utk abesen
positive;9,99E+15;good
positive;9,99E+15;aplikasi sangant berguna mantabs mempermudah absensi
positive;9,98E+15;aplikasi membantu
positive;9,95E+15;membantu absensi pegawai
positive;9,98E+15;keringanan pekerjaan pekerjaan rumah kantor seimbang mempermuah dlm pembagian
positive;9,99E+15;good
positive;9,98E+15;memudahkan membantu terima kasih eri walikota sby terbaiikk
positive;9,98E+15;bagus
positive;9,98E+15;berguna bermanfaat
positive;9,99E+15;good
positive;9,99E+15;mantap pokoknya
positive;9,96E+15;membantu
positive;9,98E+15;membantu kerja yidak terlambat
positive;9,99E+15;bermanfaat efisien
positive;9,99E+15;josss gandoss
positive;9,94E+15;teknologi canggih ramah lingkungan
positive;9,92E+15;efektif bertugas kantor
positive;9,99E+15;mantap maju
positive;9,96E+15;membantu
positive;9,99E+15;apk bagus sippppp
positive;9,98E+15;aplikasi membantu
positive;5,95E+15;wer
positive;9,98E+15;memuaskan
positive;9,96E+15;bermanfaat informasi yg bermanfaat utk kehidupan seharitetima kasih
positive;9,99E+15;puas
positive;9,99E+15;mantap
positive;9,99E+15;good
positive;9,98E+15;sapu jagat sngat
positive;9,26E+15;mantap wis semoga fitur nya ditambah vidio giotek krn sngt dibutuhkan dilapangan hem kepolo document vidio foto
positive;9,99E+15;mantap
positive;9,97E+15;bagus bermanfaat mempermudah sistem laporan kerja
positive;9,98E+15;bagus
